id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
flue_collar_,Section 202 (IFGC) General Definitions,Flue Collar,,,,,,"That portion of an appliance designed for the attachment of a draft hood, vent connector or venting system."
flue_gases_,Section 202 (IFGC) General Definitions,Flue Gases,,,,,,Products of combustion plus excess air in appliance flues or heat exchangers.
flue_liner_lining_,Section 202 (IFGC) General Definitions,Flue Liner (Lining),,,,,,"A system or material used to form the inside surface of a flue in a chimney or vent, for the purpose of protecting the surrounding structure from the effects of combustion products and for conveying combustion products without leakage to the atmosphere."
fuel_gas_,Section 202 (IFGC) General Definitions,Fuel Gas,,,,,,"A natural gas, manufactured gas, liquefied petroleum gas or mixtures of these gases."
furnace_,Section 202 (IFGC) General Definitions,Furnace,,,,,,A completely self-contained heating unit that is designed to supply heated air to spaces remote from or adjacent to the appliance location.
furnace_central_,Section 202 (IFGC) General Definitions,"Furnace, Central",,,,,,"A self-contained appliance for heating air by transfer of heat of combustion through metal to the air, and designed to supply heated air through ducts to spaces remote from or adjacent to the appliance location."
furnace_enclosed_,Section 202 (IFGC) General Definitions,"Furnace, Enclosed",,,,,,"A specific heating, or heating and ventilating, furnace incorporating an integral total enclosure and using only outside air for combustion."
furnace_plenum_,Section 202 (IFGC) General Definitions,Furnace Plenum,,,,,,An air compartment or chamber to which one or more ducts are connected and that forms part of an air distribution system.
gas_convenience_outlet_,Section 202 (IFGC) General Definitions,Gas Convenience Outlet,,,,,,"A permanently mounted, manually operated device that provides the means for connecting an appliance to, and disconnecting an appliance from, the supply piping. The device includes an integral, manually operated valve with a nondisplaceable valve member and is designed so that disconnection of an appliance only occurs when the manually operated valve is in the closed position."
gas_piping_,Section 202 (IFGC) General Definitions,Gas Piping,,,,,,"An installation of pipe, valves or fittings installed on a premises or in a building and utilized to convey fuel gas."
gaseous_hydrogen_system_,Section 202 (IFGC) General Definitions,Gaseous Hydrogen System,,,,,,See Section 702.1.
hazardous_location_,Section 202 (IFGC) General Definitions,Hazardous Location,,,,,,"Any location considered to be a fire hazard for flammable vapors, dust, combustible fibers or other highly combustible substances. The location is not necessarily categorized in the building code as a high-hazard group classification."
house_piping_,Section 202 (IFGC) General Definitions,House Piping,,,,,,"See ""Piping system."""
hydrogen_fuel_gas_room_,Section 202 (IFGC) General Definitions,Hydrogen Fuel-Gas Room,,,,,,See Section 702.1.
hydrogen_generating_appliance_,Section 202 (IFGC) General Definitions,Hydrogen-Generating Appliance,,,,,,See Section 702.1.
ignition_pilot_,Section 202 (IFGC) General Definitions,Ignition Pilot,,,,,,A pilot that operates during the lighting cycle and discontinues during main burner operation.
ignition_source_,Section 202 (IFGC) General Definitions,Ignition Source,,,,,,"A flame, spark or hot surface capable of igniting flammable vapors or fumes. Such sources include appliance burners, burner ignitors and electrical switching devices."
incinerator_,Section 202 (IFGC) General Definitions,Incinerator,,,,,,"An appliance used to reduce combustible refuse material to ashes and that is manufactured, sold and installed as a complete unit."
industrial_air_heaters_direct_fired_non_recirculating_,Section 202 (IFGC) General Definitions,"Industrial Air Heaters, Direct-Fired Non-Recirculating",,,,,,A heater in which all the products of combustion generated by the burners are released into the air stream being heated. The purpose of the heater is to offset building heat loss by heating only outdoor air.
industrial_air_heaters_direct_fired_recirculating_,Section 202 (IFGC) General Definitions,"Industrial Air Heaters, Direct-Fired Recirculating",,,,,,"A heater in which all the products of combustion generated by the burners are released into the air stream being heated. The purpose of the heater is to offset building heat loss by heating outdoor air, and, if applicable, indoor air."
infrared_radiant_heater_,Section 202 (IFGC) General Definitions,Infrared Radiant Heater,,,,,,A heater that directs a substantial amount of its energy output in the form of infrared radiant energy into the area to be heated. Such heaters are of either the vented or unvented type.
joint_flanged_,Section 202 (IFGC) General Definitions,"Joint, Flanged",,,,,,A joint made by bolting together a pair of flanged ends.
ifgc_joint_flared_,Section 202 (IFGC) General Definitions,"Joint, Flared",,,,,,A metal-to-metal compression joint in which a conical spread is made on the end of a tube that is compressed by a flare nut against a mating flare.
joint_mechanical_,Section 202 (IFGC) General Definitions,"Joint, Mechanical",,,,,,"A general form of gas-tight joints obtained by the joining of metal parts through a positive-holding mechanical construction, such as a press-connect joint, flanged joint, threaded joint, flared joint or compression joint."
joint_plastic_adhesive_,Section 202 (IFGC) General Definitions,"Joint, Plastic Adhesive",,,,,,A joint made in thermoset plastic piping by the use of an adhesive substance that forms a continuous bond between the mating surfaces without dissolving either one of them.
joint_plastic_heat_fusion_,Section 202 (IFGC) General Definitions,"Joint, Plastic Heat Fusion",,,,,,A joint made in thermoplastic piping by heating the parts sufficiently to permit fusion of the materials when the parts are pressed together.
joint_welded_,Section 202 (IFGC) General Definitions,"Joint, Welded",,,,,,A gas-tight joint obtained by the joining of metal parts in molten state.
labeled_,Section 202 (IFGC) General Definitions,Labeled,,,,,,"Equipment, materials or products to which have been affixed a label, seal, symbol or other identifying mark of a nationally recognized testing laboratory, approved agency or other organization concerned with product evaluation that maintains periodic inspection of the production of the above-labeled items and whose labeling indicates either that the equipment, material or product meets identified standards or has been tested and found suitable for a specified purpose."
leak_check_,Section 202 (IFGC) General Definitions,Leak Check,,,,,,An operation performed on a gas piping system to verify that the system does not leak.
limit_control_,Section 202 (IFGC) General Definitions,Limit Control,,,,,,"A device responsive to changes in pressure, temperature or level for turning on, shutting off or throttling the gas supply to an appliance."
liquefied_petroleum_gas_or_lpg_lp_gas_,Section 202 (IFGC) General Definitions,Liquefied Petroleum Gas or LPG (LP-Gas),,,,,,"Liquefied petroleum gas composed predominately of propane, propylene, butanes or butylenes, or mixtures thereof that is gaseous under normal atmospheric conditions, but is capable of being liquefied under moderate pressure at normal temperatures."
listed_,Section 202 (IFGC) General Definitions,Listed,,,,,,"Equipment, materials, products or services included in a list published by an organization acceptable to the code official and concerned with evaluation of products or services that maintains periodic inspection of production of listed equipment or materials or periodic evaluation of services and whose listing states either that the equipment, material, product or service meets identified standards or has been tested and found suitable for a specified purpose."
living_space_,Section 202 (IFGC) General Definitions,Living Space,,,,,,"Space within a dwelling unit utilized for living, sleeping, eating, cooking, bathing, washing and sanitation purposes."
log_lighter_,Section 202 (IFGC) General Definitions,Log Lighter,,,,,,A manually operated solid fuel ignition appliance for installation in a vented solid fuel-burning fireplace.
lubricated_plug_type_valve_,Section 202 (IFGC) General Definitions,Lubricated Plug-Type Valve,,,,,,A valve of the plug and barrel type provided with means for maintaining a lubricant between the bearing surfaces.
