id,section,title,ifc_type,occupancy,design_phase,code_category,primary_responsibility,body
compressor_,Section 202 General Definitions,Compressor,,,,,,"A specific machine, with or without accessories, for compressing a gas."
compressor_positive_displacement_,Section 202 General Definitions,"Compressor, Positive Displacement",,,,,,A compressor in which increase in pressure is attained by changing the internal volume of the compression chamber.
compressor_unit_,Section 202 General Definitions,Compressor Unit,,,,,,A compressor with its prime mover and accessories.
concealed_location_,Section 202 General Definitions,Concealed Location,,,,,,"A location that cannot be accessed without damaging permanent parts of the building structure or finish surface. Spaces above, below or behind readily removable panels or doors shall not be considered as concealed."
condensate_,Section 202 General Definitions,Condensate,,,,,,The liquid that condenses from a gas (including flue gas) caused by a reduction in temperature.
condenser_,Section 202 General Definitions,Condenser,,,,,,A heat exchanger designed to liquefy refrigerant vapor by removal of heat.
condensing_unit_,Section 202 General Definitions,Condensing Unit,,,,,,"A specific refrigerating machine combination for a given refrigerant, consisting of one or more power-driven compressors, condensers and, where required, liquid receivers, and the regularly furnished accessories."
conditioned_space_,Section 202 General Definitions,Conditioned Space,,,,,,"An area, room or space that is enclosed within the building thermal envelope and that is directly heated or cooled or that is indirectly heated or cooled. Spaces are indirectly heated or cooled where they communicate through openings with conditioned spaces, where they are separated from conditioned spaces by uninsulated walls, floors or ceilings, or where they contain uninsulated ducts, piping or other sources of heating or cooling."
construction_documents_,Section 202 General Definitions,Construction Documents,,,,,,"The written, graphic and pictorial documents prepared or assembled for describing the design, location and physical characteristics of the elements of the project necessary for obtaining a building permit. The construction drawings shall be drawn to an appropriate scale."
control_,Section 202 General Definitions,Control,,,,,,"A manual or automatic device designed to regulate the gas, air, water or electrical supply to, or operation of, a mechanical system."
conversion_burner_,Section 202 General Definitions,Conversion Burner,,,,,,A burner designed to supply gaseous fuel to an appliance originally designed to utilize another fuel.
cooking_appliance_,Section 202 General Definitions,Cooking Appliance,,,,,,See Commercial cooking appliances.
damper_,Section 202 General Definitions,Damper,,,,,,A manually or automatically controlled device to regulate draft or the rate of flow of air or combustion gases.
volume_damper_,Section 202 General Definitions,Volume Damper,,,,,,"A device that, where installed, will restrict, retard or direct the flow of air in a duct, or the products of combustion in a heat-producing appliance, its vent connector, vent or chimney therefrom."
design_flood_elevation_,Section 202 General Definitions,Design Flood Elevation,,,,,,"The elevation of the ""design flood,"" including wave height, relative to the datum specified on the community's legally designated flood hazard area map. In areas designated as Zone AO, the design flood elevation shall be the elevation of the highest existing grade of the building's perimeter plus the depth number, in feet (mm), specified on the flood hazard map. In areas designated as Zone AO where a depth number is not specified on the map, the depth number shall be taken as being equal to 2 feet (610 mm)."
design_working_pressure_,Section 202 General Definitions,Design Working Pressure,,,,,,The maximum allowable working pressure for which a specific part of a system is designed.
direct_evaporative_cooling_,Section 202 General Definitions,Direct Evaporative Cooling,,,,,,"The evaporative cooling process where water evaporates directly into the air stream, reducing the air's dry-bulb temperature and raising its humidity level."
direct_refrigeration_system_,Section 202 General Definitions,Direct Refrigeration System,,,,,,A system in which the evaporator or condenser of the refrigerating system is in direct contact with the air or other substances to be cooled or heated.
direct_solar_system_,Section 202 General Definitions,Direct Solar System,,,,,,A solar thermal system in which the gas or liquid in the solar collector loop is not separated from the load.
direct_vent_appliances_,Section 202 General Definitions,Direct-Vent Appliances,,,,,,Appliances that are constructed and installed so that all air for combustion is derived from the outdoor atmosphere and all flue gases are discharged to the outdoor atmosphere.
discrete_product_,Section 202 General Definitions,Discrete Product,,,,,,"Products that are noncontinuous, individual, distinct pieces such as, but not limited to, electrical, plumbing and mechanical products and duct straps, duct fittings, duct registers and pipe hangers."
draft_,Section 202 General Definitions,Draft,,,,,,"The pressure difference existing between the appliance or any component part and the atmosphere, that causes a continuous flow of air and products of combustion through the gas passages of the appliance to the atmosphere."
induced_draft_,Section 202 General Definitions,Induced Draft,,,,,,"The pressure difference created by the action of a fan, blower or ejector, that is located between the appliance and the chimney or vent termination."
natural_draft_,Section 202 General Definitions,Natural Draft,,,,,,"The pressure difference created by a vent or chimney because of its height, and the temperature difference between the flue gases and the atmosphere."
drain_back_system_,Section 202 General Definitions,Drain-Back System,,,,,,A solar thermal system in which the fluid in the solar collector loop is gravity drained from the collector into a holding tank under prescribed circumstances.
drip_,Section 202 General Definitions,Drip,,,,,,The container placed at a low point in a system of piping to collect condensate and from which the condensate is removable.
dry_cleaning_systems_,Section 202 General Definitions,Dry Cleaning Systems,,,,,,Dry cleaning plants or systems are classified as follows:
dry_cleaning_systems_type_i_,Section 202 General Definitions,Type I,,,,,,Those systems using Class I flammable liquid solvents having a flash point below 100°F (38°C).
dry_cleaning_systems_type_ii_,Section 202 General Definitions,Type II,,,,,,Those systems using Class II combustible liquid solvents having a flash point at or above 100°F (38°C) and below 140°F (60°C).
dry_cleaning_systems_type_iii_,Section 202 General Definitions,Type III,,,,,,Those systems using Class III combustible liquid solvents having a flash point at or above 140°F (60°C).
dry_cleaning_systems_types_iv_and_v_,Section 202 General Definitions,Types IV and V,,,,,,Those systems using Class IV nonflammable liquid solvents.
duct_,Section 202 General Definitions,Duct,,,,,,A tube or conduit utilized for conveying air. The air passages of self-contained systems are not to be construed as air ducts.
duct_furnace_,Section 202 General Definitions,Duct Furnace,,,,,,"A warm-air furnace normally installed in an air distribution duct to supply warm air for heating. This definition shall apply only to a warm-air heating appliance that, for air circulation, depends on a blower not furnished as part of the furnace."
